"V1","V2"
"TTK","TPX2"
"TTK","ZFP36L2"
"TP53BP2","USP4"
"PLXNA2","SEMA3A"
"PLXNA2","PLXNA4"
"PLXNA2","PAK3"
"ATL1","REEP1"
"STRADA","PRKAG3"
"STRADA","PRKAG2"
"NEK8","SUGT1"
"NEK8","TTC1"
"NR3C2","CAPZA3"
"NOX5","GUCY1B3"
"SDCCAG8","TPX2"
"SDCCAG8","SFI1"
"SDCCAG8","TUBG2"
"SDCCAG8","TTBK2"
"SDCCAG8","TUBGCP5"
"SDCCAG8","SSNA1"
"SDCCAG8","KIF24"
"RHOBTB2","RHOBTB1"
"KCNA2","KCNA1"
"TLR4","TLR6"
"TLR4","IL2"
"TLR4","IL6"
"TLR4","TICAM2"
"TLR4","RIPK3"
"TLR4","IFNG"
"TLR4","TLR2"
"TLR4","CSF2"
"TLR4","VEGFA"
"TLR4","S100A1"
"TLR4","INS"
"FER","YES1"
"SH3GLB1","UVRAG"
"DCTN6","CAPZA3"
"DCTN6","INS"
"DCTN6","NR3C2"
"TWIST1","WWP1"
"ZBTB17","ZBTB49"
"MYLK2","CALML4"
"MYLK2","CALML6"
"TUBGCP4","VSIG1"
"TUBGCP4","SFI1"
"TUBGCP4","TUBG2"
"TUBGCP4","TUBGCP5"
"TUBGCP4","SSNA1"
"TUBGCP4","SDCCAG8"
"ST13","STAT2"
"SSR3","ZWINT"
"SSR3","KLHL29"
"PRKCQ","PRKCG"
"IGFBP7","IL6"
"IGFBP7","VEGFA"
"IGFBP7","INS"
"TADA2A","WDTC1"
"TADA2A","LRCH4"
"TADA2A","TTC9C"
"BNIP3L","WIPI2"
"RET","VEGFA"
"YTHDC2","WTAP"
"PIK3R4","PIK3R6"
"PIK3R4","WIPI1"
"PIK3R4","PRKAG3"
"PIK3R4","WIPI2"
"PIK3R4","ULK2"
"PIK3R4","ATG10"
"PIK3R4","PRKAG2"
"PIK3R4","KIAA0226L"
"PIK3R4","UVRAG"
"PIK3R4","PIK3R5"
"PIK3R4","PIK3C2B"
"SLC9A1","PRKCG"
"REEP2","REEP1"
"KLHL23","BNIP3L"
"ASB17","FBXO9"
"ASB17","WWP1"
"ASB17","SPSB1"
"ASB17","WSB2"
"ASB17","KLHL25"
"ASB17","SPSB3"
"ASB17","TRIM36"
"MATK","NRG2"
"MATK","NRG4"
"MATK","NRG3"
"MATK","BTC"
"MATK","EREG"
"MATK","NGF"
"UBE2N","XIAP"
"UBE2N","FBXO9"
"UBE2N","WWP1"
"UBE2N","TICAM2"
"UBE2N","SPSB1"
"UBE2N","KLHL25"
"UBE2N","TLR3"
"UBE2N","SLC2A4"
"UBE2N","TRIM36"
"UBE2N","NHLRC1"
"UBE2N","SDCCAG8"
"UBE2N","REV1"
"UBE2N","TLR4"
"UBE2N","PRKCQ"
"UBE2N","ASB17"
"TRIM16","TOMM34"
"PTGDR","PTGDS"
"RARRES3","PTGDS"
"SGK2","WWP1"
"RAB7B","RAB33A"
"RAB7B","RAB40A"
"RAB7B","VPS41"
"RAB7B","PIK3R4"
"SMC3","ZWINT"
"SMC3","ZNF598"
"SMC3","USP13"
"SMC3","TOP2B"
"SMC3","SUPT5H"
"C2CD3","SFI1"
"C2CD3","TTBK2"
"C2CD3","SSNA1"
"C2CD3","KIF24"
"C2CD3","SDCCAG8"
"CHAT","NGF"
"YWHAE","ZNF598"
"YWHAE","TPX2"
"YWHAE","SGK223"
"YWHAE","UNK"
"YWHAE","SFI1"
"YWHAE","ZFP36L2"
"YWHAE","TUBG2"
"YWHAE","TTBK2"
"YWHAE","TUBGCP5"
"YWHAE","SLC2A4"
"YWHAE","REEP1"
"YWHAE","UVRAG"
"YWHAE","NGF"
"YWHAE","SSNA1"
"YWHAE","KIF24"
"YWHAE","HLA-DRB3"
"YWHAE","TP53BP2"
"YWHAE","SDCCAG8"
"YWHAE","TUBGCP4"
"YWHAE","PIK3R4"
"YWHAE","RARRES3"
"YWHAE","C2CD3"
"GAB1","NRG2"
"GAB1","NRG4"
"GAB1","NRG3"
"GAB1","IL6"
"GAB1","WASL"
