"Index","Prot"
"333","HIST2H2BE"
"334","H1F0"
"335","FBF1"
"336","ARMC8"
"337","HAUS1"
"338","ANAPC4"
"339","CDK8"
"340","COMMD1"
"341","RBBP8"
"342","KIF11"
"343","GTSE1"
"344","STAT3"
"345","BCL2"
"346","PIN1"
"347","PTGES3"
"348","MZT1"
"349","HAUS2"
"350","CARM1"
"351","BUB1B"
"352","ANAPC7"
"353","ATP2A2"
"354","MATR3"
"355","SRSF7"
"356","CSNK1E"
"357","ITGAM"
"358","PKN1"
"359","CCT4"
"360","CCNL2"
"361","CNOT7"
"362","PPP2R1A"
"363","CDC20"
"364","ECSIT"
"365","GFAP"
"366","FAU"
"367","PPP1CA"
"368","PTEN"
"369","MAVS"
"370","MAPK6"
"371","CDK4"
"372","NSD1"
"373","COMMD4"
"374","DERL1"
"375","RPL13"
"376","CEP72"
"377","APITD1"
"378","KPNA3"
"379","FBXW7"
"380","RMND5A"
"381","DAB2"
"382","RPA2"
"383","HDGF"
"384","HIST3H3"
"385","FBXO6"
"386","HNRNPF"
"387","APOE"
"388","GOLGA2"
"389","AR"
"390","RPS23"
"391","KRT2"
"392","CCP110"
"393","ITGA4"
"394","DDX17"
"395","RPS25"
"396","EBNA1BP2"
"397","NSFL1C"
"398","CDC25C"
"399","RPS4X"
"400","KIFC1"
"401","CASK"
"402","PML"
"403","BANP"
"404","NRAS"
"405","MCM3"
"406","NEK7"
"407","KEAP1"
"408","PHB"
"409","NFKBIA"
"410","KDR"
"411","PSMD6"
"412","MCL1"
"413","CEP70"
"414","TRAF2"
"415","IGF1R"
"416","NINL"
"417","LATS2"
"418","SELE"
"419","NPHP1"
"420","KIAA0753"
"421","FOXM1"
"422","RBMXL2"
"423","PSMB8"
"424","IRAK3"
"425","POLA1"
"426","RPL3"
"427","TRIM25"
"428","PSMB6"
"429","RPS18"
"430","NCAPH2"
"431","DPF2"
"432","CDKN2A"
"433","AKAP9"
"434","AHCTF1"
"435","HIST1H1B"
"436","NCOA3"
"437","EEF1D"
"438","BRD4"
"439","FANCG"
"440","COMMD6"
"441","MYO1C"
"442","ODF2"
"443","DECR1"
"444","TFAP2A"
"445","IGF2BP1"
"446","KNG1"
"447","ATAD2"
"448","PCM1"
"449","NUP153"
"450","RUNX2"
"451","RPL23"
"452","G3BP1"
"453","CDK13"
"454","CEP55"
"455","DUSP22"
"456","PKM"
"457","UBE2D1"
"458","DYNLL1"
"459","MED23"
"460","PI4KA"
"461","KIF4B"
"462","RPL12"
"463","CFLAR"
"464","TPM1"
"465","FGFR1OP"
"466","B4GALT1"
"467","OPTN"
"468","RAC1"
"469","GLI1"
"470","RPGRIP1L"
"471","CDC14A"
"472","IRAK1"
"473","HIST1H2AC"
"474","HSPA12A"
"475","PELO"
"476","RAF1"
"477","LYN"
"478","TFDP1"
"479","AGO1"
"480","IQCB1"
"481","PSMC4"
"482","PSMB3"
"483","STUB1"
"484","ATF2"
"485","PDS5A"
"486","RPL15"
"487","DNM1L"
"488","NUMA1"
"489","TNIP2"
"490","MCM10"
"491","CDK5RAP2"
"492","AAAS"
"493","CDKN1A"
"494","PRDX1"
"495","PRKACA"
"496","POU2F1"
"497","TLE1"
"498","NCAPH"
"499","SPDL1"
"500","ALB"
"501","CEP162"
"502","RAB11A"
"503","NCF1"
"504","SLC25A5"
"505","GOPC"
"506","CDCA8"
"507","CXCL8"
"508","DHX9"
"509","SNRNP70"
"510","S100A6"
"511","CTDSPL2"
"512","HSPB1"
"513","MAPK14"
"514","MAPK11"
"515","RAD51AP1"
"516","RPL28"
"517","SFN"
"518","G3BP2"
"519","SYNCRIP"
"520","PSMA3"
"521","RPL22"
"522","RPL26"
"523","BIRC2"
"524","MAP3K1"
"525","POU2F2"
"526","ERH"
"527","HSPA1A"
"528","SOCS3"
"529","USP32"
"530","CKAP5"
"531","NUP205"
"532","MEOX2"
"533","NKRF"
"534","UBE2D2"
"535","UBQLN2"
"536","KIF2B"
"537","ANXA5"
"538","CAPNS1"
"539","PSMD9"
"540","MAP4K2"
"541","RNF8"
"542","ERLIN2"
"543","CDK17"
"544","DNAJA1"
"545","FAF2"
"546","TP53BP1"
"547","TNFAIP3"
"548","CDX2"
"549","PABPC1"
"550","RPS6"
"551","SAP18"
"552","MAPT"
"553","PPP2R5E"
"554","LATS1"
"555","DAG1"
"556","KHDRBS1"
"557","KAT2B"
"558","PSMD3"
"559","HIST1H2BO"
"560","SOD2"
"561","COMMD8"
"562","BUB3"
"563","PSME3"
"564","FEN1"
"565","NEDD1"
"566","DCTN2"
"567","SHARPIN"
"568","IKBKE"
"569","TES"
"570","PPP2R5D"
"571","RAD51"
"572","RBX1"
"573","IQGAP2"
"574","NUSAP1"
"575","PPP1CB"
"576","GTF2B"
"577","MCM5"
"578","SMARCC1"
"579","ALOX5"
"580","ACOX1"
"581","RAB8A"
"582","SKP2"
"583","BIRC3"
"584","PGR"
"585","BORA"
"586","EHMT1"
"587","TUBB"
"588","EXO1"
"589","MYT1"
"590","NOD2"
"591","ORC5"
"592","FYN"
"593","RPS26"
"594","RASSF1"
"595","NPHP4"
"596","MFAP1"
"597","SOX2"
"598","RFC3"
"599","PTCH1"
"600","DUSP21"
"601","PAWR"
"602","RANBP2"
"603","WDR61"
"604","RAB5A"
"605","COPE"
"606","RAB1A"
"607","DCTN3"
"608","RRM2"
"609","PSMD2"
"610","ERBB2"
"611","CCDC6"
"612","SRP14"
"613","PRKAG1"
"614","FZR1"
"615","FANCI"
"616","IL1RAP"
"617","RPS27A"
"618","UGDH"
"619","SAFB"
"620","CENPU"
"621","NUP214"
"622","PRKACG"
"623","JAK1"
"624","SFPQ"
"625","CPD"
"626","RPL17"
"627","HIST1H2BJ"
"628","ATR"
"629","IFIH1"
"630","ATP5C1"
"631","IRF4"
"632","BANF1"
"633","NOS2"
"634","CELSR2"
"635","CEBPA"
"636","TAB2"
"637","NDEL1"
"638","AES"
"639","RPS27L"
"640","HRNR"
"641","MASTL"
"642","KPNA6"
"643","TCTN2"
"644","CEP152"
"645","JAK3"
"646","HTRA2"
"647","E2F7"
"648","CCNE1"
"649","CCNK"
"650","CENPJ"
"651","SEC13"
"652","TRAF6"
"653","MAPK8"
"654","GINS2"
"655","ING4"
"656","CD19"
"657","KPNA1"
"658","REL"
"659","DNA2"
"660","PTPN6"
"661","AP2S1"
"662","DNMT3B"
"663","NUP93"
"664","SEC61A1"
"665","RPA1"
"666","PSMA7"
"667","GTF2A1"
"668","PPP2R1B"
"669","NDC1"
"670","VCAM1"
"671","GADD45G"
"672","CASP1"
"673","CENPH"
"674","COPS7A"
"675","NFKB1"
"676","CEBPZ"
"677","FLT4"
"678","FAM64A"
"679","MTX3"
"680","SFXN5"
"681","ERCC2"
"682","DYNLL2"
"683","CDCA3"
"684","BCL3"
"685","ECT2"
"686","MBP"
"687","ICAM1"
"688","GSG2"
"689","KRT1"
"690","DNAJA3"
"691","TSC1"
"692","ASPM"
"693","TACC3"
"694","CD44"
"695","MKS1"
"696","NOTCH1"
"697","USO1"
"698","CDC27"
"699","MAPK3"
"700","MAP4K4"
"701","OGT"
"702","CDK3"
"703","HIST1H2BD"
"704","RB1"
"705","ADAM17"
"706","UBE2E1"
"707","NUP107"
"708","TMEM216"
"709","MAP2K1"
"710","RFC1"
"711","NUP50"
"712","ATF3"
"713","TNFRSF1B"
"714","ANAPC16"
"715","CD276"
"716","MTDH"
"717","MYH14"
"718","KRT9"
"719","KPNA4"
"720","HOOK3"
"721","CCDC14"
"722","RYK"
"723","HAUS7"
"724","FOS"
"725","NUCB1"
"726","AATF"
"727","EGR1"
"728","SKA1"
"729","RPS17"
"730","NRP1"
"731","CKS2"
"732","CHFR"
"733","SMARCA4"
"734","CREB1"
"735","LAMP2"
"736","TCTN1"
"737","CSNK1D"
"738","CEP164"
"739","TRADD"
"740","UBE2V1"
"741","ACTR1A"
"742","PPP4C"
"743","SPAG5"
"744","GK"
"745","TAF1"
"746","GPN3"
"747","PLEC"
"748","DNAJB6"
"749","ELMO1"
"750","CCNB1"
"751","RBL1"
"752","FANCA"
"753","ATP6V0D1"
"754","RPLP2"
"755","CCRL2"
"756","SRSF3"
"757","GMNN"
"758","ASF1B"
"759","TMOD3"
"760","AGER"
"761","NUP43"
"762","USP7"
