"V1","V2"
"SNAPC4","SUPT4H1"
"SNAPC4","ELL3"
"SRI","TXNDC12"
"SRI","PPA2"
"EIF4E3","EIF4E1B"
"EIF4E3","RNMT"
"GTF2H2","TCEB3CL2"
"GTF2H2","TCEB3C"
"GTF2H2","TCEB3"
"GTF2H2","RNMT"
"GTF2H2","TAF13"
"GTF2H2","SUPT5H"
"GTF2H2","TAF7"
"GTF2H2","POLR2K"
"GTF2H2","SUPT4H1"
"RNF152","UBE2W"
"CNOT8","TNKS1BP1"
"CNOT8","ZC3H7A"
"CNOT8","DEDD"
"PDP1","UCHL1"
"PDP1","PPA2"
"HEXIM2","RN7SK"
"CASP2","NLRP1"
"CASP2","YWHAE"
"XRCC3","ZNF598"
"XRCC3","TNKS1BP1"
"F2","GP5"
"F2","SERPING1"
"F2","YBX1"
"THOC7","POM121C"
"THOC7","NUP37"
"THOC7","SRSF9"
"UBE2S","ZRANB1"
"UBE2S","ZNF598"
"UBE2S","FBXO5"
"UBE2S","UBFD1"
"UBE2S","UBE2W"
"PAN3","PABPC3"
"TCOF1","ZNF598"
"TCOF1","PPA2"
"TCOF1","TXN"
"GTF2A2","ZNF143"
"GTF2A2","SNAPC3"
"GTF2A2","ZC3H8"
"GTF2A2","VWA9"
"GTF2A2","TAF13"
"GTF2A2","SUPT5H"
"GTF2A2","TAF7"
"GTF2A2","POLR2K"
"GTF2A2","RPAP2"
"GTF2A2","INTS8"
"GTF2A2","NABP2"
"GTF2A2","SUPT4H1"
"GTF2A2","ELL3"
"GTF2A2","SNAPC4"
"GTF2A2","GTF2H2"
"CNOT6","TNKS1BP1"
"CNOT6","CNOT8"
"ADCY2","ADCY8"
"ADCY2","PRKCG"
"ADCY2","ADCY1"
"ADCY2","ADCY9"
"ADCY2","ADCY3"
"RPL36A","RPL22L1"
"RPL36A","RPL39L"
"RPL36A","RPS21"
"RPL36A","RPL36AL"
"RPL36A","UPF1"
"GTF2H3","TCEB3CL2"
"GTF2H3","TCEB3C"
"GTF2H3","TCEB3"
"GTF2H3","RNMT"
"GTF2H3","TAF13"
"GTF2H3","SUPT5H"
"GTF2H3","TAF7"
"GTF2H3","POLR2K"
"GTF2H3","SUPT4H1"
"GTF2H3","GTF2H2"
"GTF2H3","GTF2A2"
"RPS20","RPL22L1"
"RPS20","RPL39L"
"RPS20","RPS21"
"RPS20","RPL36AL"
"RPS20","UPF1"
"RPS20","RPL36A"
"SNAPC5","ZNF143"
"SNAPC5","SNAPC3"
"SNAPC5","ZC3H8"
"SNAPC5","VWA9"
"SNAPC5","TAF13"
"SNAPC5","SUPT5H"
"SNAPC5","POLR2K"
"SNAPC5","RPAP2"
"SNAPC5","INTS8"
"SNAPC5","NABP2"
"SNAPC5","SUPT4H1"
"SNAPC5","ELL3"
"SNAPC5","SNAPC4"
"SNAPC5","GTF2A2"
"RPS6KB1","RRAGD"
"RPS6KB1","SLC38A9"
"RPS6KB1","INS"
"RPSA","RPL22L1"
"RPSA","RPL39L"
"RPSA","YBX1"
"RPSA","RPS21"
"RPSA","RPL36AL"
"RPSA","UPF1"
"RPSA","RPL36A"
"RPSA","RPS20"
"MARK4","MAP2"
"MARK4","YWHAE"
"GAPDHS","TKTL2"
"GAPDHS","H6PD"
"GAPDHS","PKLR"
"GAPDHS","PGAM4"
"GAPDHS","PGAM2"
"GAPDHS","TKTL1"
"RRAGA","WDR59"
"RRAGA","PRKAG3"
"RRAGA","RRAGD"
"RRAGA","SLC38A9"
"RRAGA","PRKAG2"
"RRAGA","TBC1D7"
"RRAGA","RNF152"
"RRAGA","RPS6KB1"
"PRKAB1","PRKAG3"
"PRKAB1","RRAGD"
"PRKAB1","SLC38A9"
"PRKAB1","PRKAG2"
"PRKAB1","RRAGA"
"TAF6","ZNF143"
"TAF6","SNAPC3"
"TAF6","ZC3H8"
"TAF6","VWA9"
"TAF6","TAF13"
"TAF6","SUPT5H"
"TAF6","TAF7"
"TAF6","POLR2K"
"TAF6","RPAP2"
"TAF6","INTS8"
"TAF6","NABP2"
"TAF6","SUPT4H1"
"TAF6","ELL3"
"TAF6","SNAPC4"
"TAF6","GTF2H2"
"TAF6","GTF2A2"
"TAF6","GTF2H3"
"TAF6","SNAPC5"
"ALDOB","TKTL2"
"ALDOB","H6PD"
"ALDOB","PKLR"
"ALDOB","PGAM4"
"ALDOB","PGAM2"
"ALDOB","MINPP1"
"ALDOB","TKTL1"
"ALDOB","GAPDHS"
"UNC45A","TWF1"
"UNC45A","XRCC3"
"GSS","TXNDC12"
"GSS","MVK"
"GSS","YWHAE"
"YWHAB","RRAGD"
"YWHAB","SIPA1L3"
"YWHAB","SLC38A9"
"YWHAB","ZFP36L2"
"YWHAB","RAPGEF6"
"YWHAB","YWHAQ"
"YWHAB","USP43"
"YWHAB","YWHAE"
"YWHAB","RPS6KB1"
"YWHAB","RRAGA"
"YWHAB","GSS"
"MARK3","YWHAQ"
"MARK3","MAP2"
"MARK3","YWHAE"
"MARK3","YWHAB"
"MAF1","RRAGD"
"MAF1","SLC38A9"
"MAF1","RRAGA"
"STK24","RAB3C"
"STK24","MST4"
"STK24","STRN4"
"STK24","STRIP2"
"NUP88","POM121C"
"NUP88","NUP37"
"NUP88","SRSF9"
"NUP88","THOC7"
"WWP2","YWHAQ"
"WWP2","RPAP2"
"WWP2","NLRP1"
"WWP2","XRN2"
"WWP2","YWHAE"
"WWP2","JAG2"
"INTS5","ZNF143"
"INTS5","SNAPC3"
"INTS5","ZC3H8"
"INTS5","VWA9"
"INTS5","TAF13"
"INTS5","SUPT5H"
"INTS5","POLR2K"
"INTS5","RPAP2"
"INTS5","INTS8"
"INTS5","NABP2"
"INTS5","SUPT4H1"
"INTS5","ELL3"
"INTS5","SNAPC4"
"INTS5","GTF2A2"
"INTS5","SNAPC5"
"INTS5","TAF6"
"NABP1","ZNF143"
"NABP1","SNAPC3"
"NABP1","ZC3H8"
"NABP1","VWA9"
"NABP1","TAF13"
"NABP1","SUPT5H"
"NABP1","POLR2K"
"NABP1","RPAP2"
"NABP1","INTS8"
"NABP1","NABP2"
"NABP1","SUPT4H1"
"NABP1","ELL3"
"NABP1","SNAPC4"
"NABP1","GTF2A2"
"NABP1","SNAPC5"
"NABP1","TAF6"
"NABP1","INTS5"
"TET2","YWHAQ"
"TET2","TPM2"
"TET2","YWHAE"
"GTF2H5","TCEB3CL2"
"GTF2H5","TCEB3C"
"GTF2H5","VARS"
"GTF2H5","TCEB3"
"GTF2H5","RNMT"
"GTF2H5","TAF13"
"GTF2H5","SUPT5H"
"GTF2H5","TAF7"
"GTF2H5","POLR2K"
"GTF2H5","SUPT4H1"
"GTF2H5","GTF2H2"
"GTF2H5","GTF2A2"
"GTF2H5","GTF2H3"
"GTF2H5","TAF6"
"STX2","STXBP1"
"RTF1","TCEB3CL2"
"RTF1","TCEB3C"
"RTF1","VPS4A"
"RTF1","TCEB3"
"RTF1","SUPT5H"
"RTF1","POLR2K"
"RTF1","RPAP2"
"RTF1","SUPT4H1"
"RTF1","GTF2H2"
"RTF1","GTF2H3"
"RTF1","SETD1B"
"RTF1","GTF2H5"
"FAM103A1","EIF4E1B"
"FAM103A1","RNMT"
"FAM103A1","EIF4E3"
"SCLT1","UPF1"
"SCLT1","YWHAE"
"SCLT1","MARK4"
"SCLT1","UNC45A"
"PPM1A","PRKAG3"
"PPM1A","PRKAG2"
"PPM1A","VWA9"
"PPM1A","PRKAB1"
"PPFIBP1","YWHAQ"
"PPFIBP1","YWHAB"
"EAF2","TCEB3CL2"
"EAF2","TCEB3C"
"EAF2","TCEB3"
"EAF2","SUPT5H"
"EAF2","POLR2K"
"EAF2","SUPT4H1"
"EAF2","ELL3"
"EAF2","GTF2H2"
"EAF2","GTF2H3"
"EAF2","GTF2H5"
"EAF2","RTF1"
"OSBPL3","YWHAE"
"OSBPL3","YWHAB"
"NIT2","PDXK"
"NIT2","PCK2"
"PROSC","YARS"
"PROSC","PCK2"
"PROSC","YWHAE"
