"V1","V2"
"TBX21","ITGAX"
"TBX21","SELL"
"TBX21","IL4"
"TBX21","PRF1"
"TBX21","IL5"
"TBX21","IL17A"
"TBX21","IL6"
"TBX21","IFNG"
"TLR3","TSLP"
"TLR3","TLR7"
"TLR3","TLR8"
"TLR3","IFNB1"
"TLR3","IL4"
"TLR3","IDO1"
"TLR3","IL6"
"TLR3","CXCL10"
"C5AR1","CCL4L1"
"C5AR1","CX3CL1"
"C5AR1","CXCL2"
"C5AR1","IL6"
"C5AR1","CCL4"
"C5AR1","CXCL10"
"C5AR1","CXCL12"
"C5AR1","CXCL1"
"CSF2","MRC1"
"CSF2","CD1C"
"CSF2","CSF3"
"CSF2","IL13"
"CSF2","IL7"
"CSF2","IL2"
"CSF2","ITGAX"
"CSF2","IL4"
"CSF2","IL5"
"CSF2","IL9"
"CSF2","IL17A"
"CSF2","CXCL2"
"CSF2","IL3"
"CSF2","IL6"
"CSF2","SPI1"
"CSF2","CCL4"
"CSF2","CXCL10"
"CSF2","CCL3"
"CSF2","CXCL1"
"CSF2","CCL11"
"CSF2","IFNG"
"CSF2","TLR2"
"CSF2","CD40LG"
"CSF2","TLR3"
"SLC2A4","LEP"
"SLC2A4","IL6"
"SLC2A4","ADIPOQ"
"VEGFA","MMP13"
"VEGFA","LEP"
"VEGFA","CSF3"
"VEGFA","IL13"
"VEGFA","IL2"
"VEGFA","IL4"
"VEGFA","EDN1"
"VEGFA","IL17A"
"VEGFA","IL6"
"VEGFA","CXCL10"
"VEGFA","CCL3"
"VEGFA","CXCL12"
"VEGFA","CXCL1"
"VEGFA","TLR2"
"VEGFA","CSF2"
"IFNA1","IL2"
"IFNA1","IL5"
"IFNA1","IL6"
"IFNA1","IFNG"
"IFNA1","CSF2"
"TNFSF11","MMP13"
"TNFSF11","PSMB11"
"TNFSF11","IL4"
"TNFSF11","LTB"
"TNFSF11","IL17A"
"TNFSF11","TNFRSF11A"
"TNFSF11","TNFSF14"
"TNFSF11","IL6"
"TNFSF11","CXCL10"
"TNFSF11","CCL3"
"TNFSF11","CXCL12"
"TNFSF11","CD40LG"
"TNFSF11","VEGFA"
"LTA","ENSG00000259680"
"LTA","PSMB11"
"LTA","IGHV3-11"
"LTA","IL2"
"LTA","IL4"
"LTA","LTB"
"LTA","TNFRSF11A"
"LTA","TNFSF14"
"LTA","IL6"
"LTA","IFNG"
"LTA","CD40LG"
"LTA","TNFSF11"
"IL1R1","TLR7"
"IL1R1","TLR8"
"IL1R1","TLR10"
"IL1R1","TLR6"
"IL1R1","IL37"
"IL1R1","IL1F10"
"IL1R1","TLR5"
"IL1R1","IL6"
"IL1R1","TLR2"
"IL1R1","TLR3"
"IL15","TSLP"
"IL15","ENSG00000255819"
"IL15","CSF3"
"IL15","IL13"
"IL15","IL7"
"IL15","IL2"
"IL15","KLRK1"
"IL15","SELL"
"IL15","IL4"
"IL15","PRF1"
"IL15","IL5"
"IL15","IL9"
"IL15","IL17A"
"IL15","IL6"
"IL15","CCL4"
"IL15","CXCL10"
"IL15","CCL3"
"IL15","CCL11"
"IL15","IFNG"
"IL15","CD40LG"
"IL15","TBX21"
"IL15","CSF2"
"MMP9","MMP13"
"MMP9","LEP"
"MMP9","IL13"
"MMP9","TNFAIP6"
"MMP9","EDN1"
"MMP9","IL17A"
"MMP9","IL6"
"MMP9","MPO"
"MMP9","CXCL10"
"MMP9","CXCL12"
"MMP9","CXCL1"
"MMP9","IFNG"
"MMP9","TLR2"
"MMP9","VEGFA"
"MMP9","TNFSF11"
"TNFSF12","PSMB11"
"TNFSF12","LTB"
"TNFSF12","TNFRSF11A"
"TNFSF12","TNFSF14"
"TNFSF12","CD40LG"
"TNFSF12","TNFSF11"
"TNFSF12","LTA"
"CXCL9","IL13"
"CXCL9","IL7"
"CXCL9","CCL4L1"
"CXCL9","IL2"
"CXCL9","CX3CL1"
"CXCL9","IL4"
"CXCL9","IDO1"
"CXCL9","IL5"
"CXCL9","IL17A"
"CXCL9","CXCL2"
"CXCL9","IL6"
"CXCL9","CCL4"
"CXCL9","CXCL10"
"CXCL9","CCL3"
"CXCL9","CXCL12"
"CXCL9","CXCL1"
"CXCL9","CCL11"
"CXCL9","IFNG"
"CXCL9","C5AR1"
"CXCL9","CSF2"
"CXCL9","VEGFA"
"CXCL9","IL15"
"YWHAQ","ZFP36"
"YWHAQ","SLC2A4"
"RETN","LEP"
"RETN","EDN1"
"RETN","PRTN3"
"RETN","IL6"
"RETN","MPO"
"RETN","ADIPOQ"
"RETN","CXCL1"
"RETN","VEGFA"
"MMP1","MMP13"
"MMP1","IL17A"
"MMP1","IL6"
"MMP1","VEGFA"
"MMP1","MMP9"
"F3","THBD"
"F3","GPT"
"F3","IL6"
"F3","VEGFA"
"BDNF","LEP"
"BDNF","CX3CL1"
"BDNF","IL6"
"BDNF","VEGFA"
"CD69","IL7"
"CD69","IL2"
"CD69","ITGAX"
"CD69","SELL"
"CD69","IL4"
"CD69","PRF1"
"CD69","IL17A"
"CD69","IFNG"
"CD69","CD40LG"
"CD69","TBX21"
"CD69","CSF2"
"CD69","IL15"
"INS","LEP"
"INS","IL13"
"INS","REN"
"INS","IL4"
"INS","GPT"
"INS","EDN1"
"INS","IL6"
"INS","MPO"
"INS","ADIPOQ"
"INS","SLC2A4"
"INS","VEGFA"
"INS","TNFSF11"
"INS","MMP9"
"INS","RETN"
"INS","F3"
"INS","BDNF"
