"V1","V2"
"FBXO9","UBE3D"
"FBXO9","FBXL22"
"FBXO9","UFL1"
"FBXO9","FBXW9"
"FBXO9","RNF182"
"FBXO9","FBXW10"
"FBXO9","UBE2Q1"
"WWP1","ZNRF2"
"WWP1","ZNF645"
"WWP1","WSB1"
"WWP1","UNKL"
"WWP1","RNF217"
"WWP1","UBE2F"
"WWP1","FBXO41"
"WWP1","KBTBD13"
"WWP1","PSMB11"
"WWP1","UBE3B"
"WWP1","UBE3D"
"WWP1","FBXL22"
"WWP1","UFL1"
"WWP1","FBXW9"
"WWP1","RNF182"
"WWP1","FBXW10"
"WWP1","UBE2Q1"
"WWP1","FBXO9"
"YES1","VAV2"
"WBP11","U2AF1L4"
"WBP11","ZNF746"
"ISG20","IFITM1"
"ISG20","IFI6"
"ISG20","IFITM2"
"ISG20","IP6K2"
"YY1","H2AFB1"
"TIPIN","RAD9B"
"TIPIN","ZWINT"
"ZSWIM8","PSMB11"
"CXCL2","LPAR3"
"CXCL2","CXCL3"
"CXCL2","CCL4L1"
"CXCL2","IL17A"
"UBE2Q2","ZNRF2"
"UBE2Q2","ZNF645"
"UBE2Q2","WSB1"
"UBE2Q2","UNKL"
"UBE2Q2","RNF217"
"UBE2Q2","UBE2F"
"UBE2Q2","FBXO41"
"UBE2Q2","KBTBD13"
"UBE2Q2","UBE3B"
"UBE2Q2","UBE3D"
"UBE2Q2","FBXL22"
"UBE2Q2","UFL1"
"UBE2Q2","FBXW9"
"UBE2Q2","RNF182"
"UBE2Q2","FBXW10"
"UBE2Q2","UBE2Q1"
"UBE2Q2","FBXO9"
"UBE2Q2","WWP1"
"VPS37B","WARS"
"USP18","IFI6"
"VARS","YARS"
"VARS","WARS"
"TPX2","ZWINT"
"TPX2","SPC25"
"TPX2","UBE2T"
"TPX2","ZNF598"
"UBE2G2","ZNRF2"
"UBE2G2","ZNF645"
"UBE2G2","WSB1"
"UBE2G2","UNKL"
"UBE2G2","RNF217"
"UBE2G2","UBE2F"
"UBE2G2","FBXO41"
"UBE2G2","KBTBD13"
"UBE2G2","UBE3B"
"UBE2G2","UBE3D"
"UBE2G2","FBXL22"
"UBE2G2","UFL1"
"UBE2G2","FBXW9"
"UBE2G2","RNF182"
"UBE2G2","FBXW10"
"UBE2G2","UBE2Q1"
"UBE2G2","FBXO9"
"UBE2G2","WWP1"
"UBE2G2","UBE2Q2"
"OAS2","TRIM48"
"OAS2","GBP4"
"OAS2","IFITM1"
"OAS2","GBP7"
"OAS2","IFI6"
"OAS2","HLA-DQB1"
"OAS2","HLA-DQA2"
"OAS2","IFITM2"
"OAS2","TRIM62"
"OAS2","TRIM22"
"OAS2","GBP6"
"OAS2","IP6K2"
"OAS2","GBP5"
"OAS2","ISG20"
"OAS2","USP18"
"NCR1","IL2"
"NCR1","PRF1"
"FCGR1B","TRIM48"
"FCGR1B","GBP4"
"FCGR1B","GBP7"
"FCGR1B","HLA-DQB1"
"FCGR1B","HLA-DQA2"
"FCGR1B","TRIM62"
"FCGR1B","TRIM22"
"FCGR1B","GBP6"
"FCGR1B","GBP5"
"FCGR1B","OAS2"
"ZW10","ZWILCH"
"ZW10","ZWINT"
"ZW10","SPC25"
"TNFSF14","ENSG00000026036"
"TNFSF14","PSMB11"
"TNFSF14","LTB"
"TNFSF14","TNFRSF11A"
"WDHD1","YY1"
"WDHD1","TIPIN"
"SHOC2","NKD1"
"SHOC2","PPP4R4"
"IL6","IL7"
"IL6","CXCL3"
"IL6","CCL4L1"
"IL6","IL2"
"IL6","IFNB1"
"IL6","ITGAX"
"IL6","SELL"
"IL6","MEPE"
"IL6","IL4"
"IL6","EDN1"
"IL6","IL17A"
"IL6","STAT4"
"IL6","CXCL2"
"CNEP1R1","NKD1"
"CNEP1R1","PPP4R4"
"CNEP1R1","SHOC2"
"FCER1G","ITGAX"
"FCER1G","VAV2"
"FCER1G","NCR1"
"SPI1","H2AFB1"
"CCL4","IL7"
"CCL4","LPAR3"
"CCL4","CXCL3"
"CCL4","CCL4L1"
"CCL4","IL2"
"CCL4","IL4"
"CCL4","EDN1"
"CCL4","IL17A"
"CCL4","CXCL2"
"CCL4","IL6"
"PSMG3","ZNF785"
"UBE2J2","ZNRF2"
"UBE2J2","ZNF645"
"UBE2J2","WSB1"
"UBE2J2","UNKL"
"UBE2J2","RNF217"
"UBE2J2","UBE2F"
"UBE2J2","FBXO41"
"UBE2J2","KBTBD13"
"UBE2J2","UBE3B"
"UBE2J2","UBE3D"
"UBE2J2","XIAP"
"UBE2J2","FBXL22"
"UBE2J2","UFL1"
"UBE2J2","FBXW9"
"UBE2J2","RNF182"
"UBE2J2","FBXW10"
"UBE2J2","UBE2Q1"
"UBE2J2","FBXO9"
"UBE2J2","WWP1"
"UBE2J2","UBE2Q2"
"UBE2J2","UBE2G2"
"TGFB2","VTI1B"
"CHRM1","LPAR3"
"CHRM1","EDN1"
"CHRM1","CCL4"
"TNRC6C","H2AFB1"
"TNRC6C","NOTCH4"
"NFKBIB","PSMB11"
"SPSB1","ZNRF2"
"SPSB1","ZNF645"
"SPSB1","WSB1"
"SPSB1","UNKL"
"SPSB1","RNF217"
"SPSB1","UBE2F"
"SPSB1","FBXO41"
"SPSB1","KBTBD13"
"SPSB1","UBE3B"
"SPSB1","UBE3D"
"SPSB1","FBXL22"
"SPSB1","UFL1"
"SPSB1","FBXW9"
"SPSB1","RNF182"
