source,target
ARF1,KIF5A
ARF1,ARRB1
ARF1,KIF21B
ARF1,DCTN4
ARF1,KLC1
ARF1,CDKN2A
ARF1,KIF13B
ARF1,PIK3R1
ARF1,SPTBN2
ARF1,KIF1A
ARF1,COPZ2
ARF1,USO1
ARF1,KIF18B
ARF1,DYNLL2
ARF1,SPTB
ARF1,VEGFA
ARF1,SEC22B
ARF1,COPZ1
ARF3,ELAVL1
ARF3,PHB
ARF3,GGA1
ARF3,HIF1A
ARF3,UBE2M
ARF3,KIF23
ARF3,SIRT7
ARF3,HNRNPA1
ARF3,FAF2
ARF3,TRIM25
ARF3,CDC73
ARF3,ATN1
ARF3,TFDP1
ARF3,ARF5
ARF3,KIF22
ARF3,DCTN6
ARF3,BET1
ARF3,YKT6
ARF3,COPB1
ARF3,SPTBN2
ARF3,KIF13B
ARF3,KIF21A
ARF3,TMED7
ARF3,ARFGAP1
ARF3,KLC1
ARF3,COPZ2
ARF3,KIF15
ARF3,DCTN5
ARF3,KIF2B
ARF3,KIF16B
ARF3,KIF25
ARF3,KDELR2
ARF3,RAB1B
ARF3,TMED10
ARF3,KIF3B
ARF3,RACGAP1
ARF3,SPTBN4
ARF3,GBF1
ARF3,DYNC1I2
ARF3,INS
ARF3,CAPZB
ARF3,KIF3C
ARF3,DYNC1LI1
ARF3,KIFAP3
ARF3,COPA
ARF3,KIF20A
ARF3,SURF4
ARF3,PI4KB
ARF3,DYNC1I1
ARF3,RAB1A
ARF3,CAPZA2
ARF3,CAPZA1
ARF3,CD59
ARF3,SPTBN5
ARF3,FOLR1
ARF3,USO1
ARF3,CENPE
ARF3,KIFC1
ARF3,KIF9
ARF3,KIF4A
ARF3,KIF27
ARF3,KLC2
ARF3,KIF21B
ARF3,DCTN4
ARF3,KIF6
ARF3,KIF18B
ARF3,KIF1A
ARF3,KIF26A
ARF3,KIF5A
ARF3,TMED3
ARF3,KIF20B
ARF3,DYNC1LI2
ARF3,TMED9
ARF3,ARF4
ARF3,CD55
ARF3,SPTAN1
ARF3,KIF4B
ARF3,KIF18A
ARF3,KLC3
ARF3,RHOA
ARF3,DCTN3
ARF3,KIF19
ARF3,KDELR1
ARF3,DYNC1H1
ARF3,SPTBN1
ARF3,KIF5B
ARF3,COPB2
ARF3,DCTN2
ARF3,KIF11
ARF3,TMED2
ARF3,KIF2C
ARF3,KIF1C
ARF3,DYNLL2
ARF3,KIF1B
ARF3,SPTB
ARF3,COPG2
ARF3,KIFC2
ARF3,COPG1
ARF3,KIF26B
ARF3,CAPZA3
ARF3,DYNLL1
ARF3,ARFGAP2
ARF3,KIF2A
ARF3,KIF12
ARF3,SEC22B
ARF3,KLC4
ARF3,ARFGAP3
ARF3,KDELR3
ARF3,SPTA1
ARF3,KIF3A
ARF3,COPZ1
ARF3,COPE
ARF3,DCTN1
XRN1,ZC3H7A
APP,ING2
APP,FBXL2
APP,ICK
APP,MRPL24
APP,SMG5
APP,WDR5
APP,DEDD
APP,TRIM41
APP,CRYAB
APP,CELF2
APP,COMMD2
APP,RBM39
APP,KAT5
APP,INS
APP,TIPRL
APP,TRIM63
APP,HSPA4
APP,S1PR1
APP,CDKN1A
APP,PKM
APP,ZDHHC23
APP,KIF2C
APP,UBE3C
APP,CAT
APP,TPD52L2
APP,ATXN3
APP,GRAMD4
APP,TANK
APP,MYOT
APP,HSP90AA1
APP,RPS26
APP,ETHE1
APP,GGA1
APP,DCUN1D2
APP,KPNA2
APP,ATP5A1
APP,STUB1
APP,MTG1
APP,CUL3
APP,GNA15
APP,RPL30
APP,KLC1
APP,MYC
APP,VCP
APP,PATL1
APP,PAK4
APP,TBPL1
APP,CA9
APP,RPAP3
APP,PSMD11
APP,PIKFYVE
APP,KIF3B
APP,DECR1
APP,UBAC1
APP,CHEK2
APP,SF3B2
APP,THAP1
APP,CCNG1
APP,WHSC1
APP,IARS2
APP,GAK
APP,CUL7
APP,EFHD2
APP,NUMB
APP,EIF4E2
APP,RFWD3
APP,CASP3
APP,IL7
APP,SLC2A2
APP,CDK5
APP,OPA1
APP,PPP1CC
APP,CNOT7
APP,TPT1
APP,CLU
APP,TGFBR2
APP,RPS14
APP,GNB5
APP,CSNK1D
APP,KLC4
APP,NFKBIB
APP,HMGA1
APP,RNF115
APP,SRSF6
APP,PLK2
APP,STAT5B
APP,RNF2
APP,COPS5
APP,STARD10
APP,LRPPRC
APP,RIOK2
APP,PARK2
APP,TOP1
APP,UTP14A
APP,SYVN1
APP,BACE1
APP,PDAP1
APP,OTUB2
APP,PSMD4
APP,CSNK1E
APP,FBLN1
APP,BMPR1B
APP,HSPA8
APP,DERL1
APP,RPL12
APP,DNAJB6
APP,KAT7
APP,COPZ1
APP,BTK
APP,KIF3A
APP,PCBP1
APP,SMURF1
APP,SET
APP,FBXW11
APP,IFI16
APP,UBE2M
APP,G3BP1
APP,RPA2
APP,BCL2L11
APP,AURKA
APP,LNX1
APP,MYBBP1A
APP,CDC20
APP,EPB41L2
APP,ISL1
APP,CYP20A1
APP,TRIM69
APP,SENP1
APP,DCAF7
APP,HDAC4
APP,EPB41L5
APP,PLA2G4C
APP,ARID3A
APP,FKBP1A
APP,DLK2
APP,MICU1
APP,TUBG1
APP,LARP7
