"V1","V2"
"HEXIM1","LDHB"
"HEXIM1","DHX15"
"HEXIM1","CAPZB"
"HEXIM1","SHMT2"
"HUWE1","ASB16"
"HUWE1","UBE2M"
"HUWE1","UBA3"
"HUWE1","PYGL"
"HUWE1","LDHB"
"HUWE1","CUL4B"
"HUWE1","CAPZB"
"HUWE1","HSPB1"
"HUWE1","SHMT2"
"HUWE1","FBXO6"
"HUWE1","DERL1"
"HUWE1","PIH1D1"
"CEP290","CEP104"
"CEP290","JUP"
"CEP290","NIN"
"CEP290","NHLRC2"
"FOXK1","AHCYL2"
"ATXN3","TPI1"
"ATXN3","LDHB"
"ATXN3","HSPB1"
"ATXN3","DNM1L"
"ATXN3","HUWE1"
"AAR2","SERPINB6"
"AAR2","YWHAQ"
"AAR2","TPI1"
"AAR2","NME1-NME2"
"AAR2","GMPS"
"AAR2","LDHB"
"AAR2","DHX15"
"AAR2","CAPZB"
"AAR2","MAT2A"
"AAR2","HSPB1"
"AAR2","HDGF"
"AAR2","CTH"
"AAR2","PIH1D1"
"CTNNB1","YWHAQ"
"CTNNB1","TLE3"
"CTNNB1","JUP"
"CTNNB1","GPC1"
"CTNNB1","MYO6"
"CTNNB1","H2AFV"
"CTNNB1","FOS"
"CTNNB1","LDHB"
"CTNNB1","HSPB1"
"CTNNB1","ATF2"
"CTNNB1","ATIC"
"CTNNB1","SHMT2"
"CTNNB1","LGALS3"
"CTNNB1","HUWE1"
"MSN","PAPSS1"
"MSN","HLA-B"
"MSN","JUP"
"MSN","TERF1"
"MSN","DHX15"
"MSN","HSPB1"
"MSN","ATIC"
"MSN","FH"
"MSN","NSFL1C"
"MSN","PIH1D1"
"MSN","AAR2"
"MSN","CTNNB1"
"NEDD8","YWHAQ"
"NEDD8","ASB16"
"NEDD8","UBE2M"
"NEDD8","UBA3"
"NEDD8","DNMT3B"
"NEDD8","CUL4B"
"NEDD8","FBXO6"
"NEDD8","ATXN3"
"CAND1","ASB16"
"CAND1","UBE2M"
"CAND1","UBA3"
"CAND1","H2AFV"
"CAND1","CUL4B"
"CAND1","DHX15"
"CAND1","SHMT2"
"CAND1","FBXO6"
"CAND1","DERL1"
"CAND1","PIH1D1"
"CAND1","CEP290"
"CAND1","CTNNB1"
"CAND1","NEDD8"
"NME2","NME1-NME2"
"NME2","UBE2M"
"NME2","LDHB"
"NME2","ATIC"
"CUL3","GPT2"
"CUL3","YWHAQ"
"CUL3","ASB16"
"CUL3","UBE2M"
"CUL3","GMPS"
"CUL3","UBA3"
"CUL3","H2AFV"
"CUL3","DNMT3B"
"CUL3","LDHB"
"CUL3","CUL4B"
"CUL3","DHX15"
"CUL3","MAT2A"
"CUL3","HSPB1"
"CUL3","ATF2"
"CUL3","ATP6V1A"
"CUL3","SHMT2"
"CUL3","NSFL1C"
"CUL3","FBXO6"
"CUL3","HUWE1"
"CUL3","AAR2"
"CUL3","CTNNB1"
"CUL3","NEDD8"
"CUL3","CAND1"
"DYRK1A","CAPZB"
"DYRK1A","HEXIM1"
"DYRK1A","HUWE1"
"AHCYL1","SDS"
"AHCYL1","CBSL"
"AHCYL1","SDSL"
"AHCYL1","BHMT2"
"AHCYL1","MAT1A"
"AHCYL1","ADK"
"AHCYL1","BHMT"
"AHCYL1","TLE3"
"AHCYL1","MTR"
"AHCYL1","AHCYL2"
"AHCYL1","DNMT3A"
"AHCYL1","DNMT3B"
"AHCYL1","MAT2A"
"AHCYL1","CTH"
"AHCYL1","HEXIM1"
"CDK2","YWHAQ"
"CDK2","TPI1"
"CDK2","TP73"
"CDK2","UBE2M"
"CDK2","JUP"
"CDK2","HK1"
"CDK2","MYO6"
"CDK2","LDHB"
"CDK2","CUL4B"
"CDK2","DHX15"
"CDK2","CAPZB"
"CDK2","ATIC"
"CDK2","FH"
"CDK2","PIH1D1"
"CDK2","HEXIM1"
"CDK2","CTNNB1"
"CDK2","MSN"
"CDK2","NEDD8"
"CDK2","CAND1"
"RECQL4","YWHAQ"
"RECQL4","MTHFR"
"RECQL4","TPI1"
"RECQL4","TERF1"
"RECQL4","GMPS"
"RECQL4","MYO6"
"RECQL4","H2AFV"
"RECQL4","LDHB"
"RECQL4","CUL4B"
"RECQL4","DHX15"
"RECQL4","CAPZB"
"RECQL4","MAT2A"
"RECQL4","POT1"
"RECQL4","PIH1D1"
"RECQL4","HEXIM1"
"RECQL4","HUWE1"
"RECQL4","AAR2"
"RECQL4","CAND1"
"RECQL4","CUL3"
"RECQL4","AHCYL1"
"RECQL4","CDK2"
"COPS5","ASB16"
"COPS5","UBE2M"
"COPS5","JUP"
"COPS5","UBA3"
"COPS5","FOS"
"COPS5","LDHB"
"COPS5","CUL4B"
"COPS5","DHX15"
"COPS5","MAT2A"
"COPS5","HSPB1"
"COPS5","DNM1L"
"COPS5","FBXO6"
"COPS5","AAR2"
"COPS5","CTNNB1"
"COPS5","NEDD8"
"COPS5","CAND1"
"COPS5","CUL3"
"COPS5","CDK2"
"COPS5","RECQL4"
"EEF1A2","PAPSS1"
"EEF1A2","TLE3"
"EEF1A2","UBE2M"
"EEF1A2","CUL4B"
"EEF1A2","HEXIM1"
"EEF1A2","NEDD8"
"EEF1A2","CAND1"
"EEF1A2","CUL3"
"EEF1A2","COPS5"
"HECW2","ASB16"
"HECW2","TP73"
"HECW2","UBE2M"
"HECW2","UBA3"
"HECW2","CAPZB"
"HECW2","FBXO6"
"HECW2","HUWE1"
"HECW2","CUL3"
"CFTR","MC1R"
"CFTR","TPI1"
"CFTR","MYO6"
"CFTR","PYGL"
"CFTR","LDHB"
"CFTR","CAPZB"
"CFTR","MAT2A"
"CFTR","HSPB1"
"CFTR","DAB2"
"CFTR","DERL1"
"CFTR","LGALS3"
"CFTR","HUWE1"
"CFTR","CTNNB1"
