source,target
APP,MYC
APP,MAP2K4
APP,ITGB3BP
APP,VCP
APP,PSMD11
APP,HIST2H2AC
APP,RGS1
APP,RBM8A
APP,ZFP36
APP,UBAC1
APP,CHEK2
APP,RAD51AP1
APP,SF3B2
APP,TCEA1
APP,CCNG1
APP,IARS2
APP,CUL7
APP,NUMB
APP,EIF4E2
APP,RGS3
APP,C19orf43
APP,NELFA
APP,CASP3
APP,TSPYL1
APP,IL7
APP,CDK5
APP,PPP1CC
APP,TPT1
APP,CLU
APP,TGFBR2
APP,KIAA0513
APP,CDK17
APP,NFKBIB
APP,HMGA1
APP,FGFR2
APP,RNF115
APP,UBQLN1
APP,SRSF6
APP,RAD51C
APP,STAT5B
APP,ORC6
APP,RNF2
APP,COPS5
APP,SAE1
APP,PAK2
APP,SF3B6
APP,CENPI
APP,USP5
APP,PARK2
APP,TOP1
APP,PDS5B
APP,SYVN1
APP,PI4K2A
APP,DCLK1
APP,ETV5
APP,PHLDA1
APP,PSMD4
APP,CSNK1E
APP,SYNCRIP
APP,FIP1L1
APP,HSPA8
APP,IER3
APP,DNAJB6
APP,KAT7
APP,BTK
APP,PCBP1
APP,SMURF1
APP,FBXW11
APP,UBE2M
APP,RPA2
APP,BCL2L11
APP,AURKA
APP,OAS2
APP,LNX1
APP,MEF2D
APP,CDC20
APP,MAD2L1
APP,TRIM69
APP,PRPF38A
APP,FANCM
APP,ZFC3H1
APP,NGLY1
APP,DCAF7
APP,HDAC4
APP,EME1
APP,C19orf57
APP,SAMHD1
APP,TUBG1
APP,LARP7
APP,PLRG1
APP,ZWINT
APP,CDK5R1
APP,GTPBP1
APP,MS4A2
APP,BUD31
APP,COX4I1
APP,FILIP1
APP,WARS
APP,CACNB1
APP,PRPF4
APP,NDEL1
APP,RAG1
APP,CUL4B
APP,LIMD1
APP,SYK
APP,PRDX2
APP,MRPL35
APP,HIST1H2BB
APP,MAP3K5
APP,XAF1
APP,PRR14
APP,DYRK2
APP,QKI
APP,MAP2K3
APP,LIG3
APP,RNF138
APP,OBFC1
APP,SOD2
APP,RNF32
APP,MCM10
APP,MDM2
APP,XRCC3
APP,APP
APP,HSPD1
APP,DCX
APP,BDNF
APP,MAPK8IP1
APP,NUSAP1
APP,RPS27A
APP,H2AFY
APP,HIST1H1A
APP,PSME1
APP,IK
APP,PTBP1
APP,PHF20L1
APP,RAB14
APP,ASB6
APP,PNKP
APP,ARHGDIB
APP,KATNA1
APP,PAXIP1
APP,HDGF
APP,CTNNB1
APP,SUPT4H1
APP,EEF1D
APP,FANCI
APP,CENPQ
APP,TRAIP
APP,PPP3CC
APP,MAPK11
APP,DDX42
APP,MPG
APP,MCM7
APP,HCK
APP,IFI6
APP,ECSIT
APP,C11orf73
APP,PPARG
APP,ASPH
APP,TP53TG5
APP,MAP2
APP,CDC7
APP,CDC37
APP,SKAP2
APP,SHOC2
APP,PIP5K1A
APP,SNCA
APP,PSEN1
APP,MCFD2
APP,RNF41
APP,TFPT
APP,MAP1LC3A
APP,ERG
APP,HBZ
APP,IRS1
APP,RPS10
APP,ORC3
APP,TNFSF14
APP,GPKOW
APP,EIF4E
APP,HELLS
APP,USP39
APP,NRIP1
APP,ECH1
APP,KRAS
APP,PLK1
APP,USP6
APP,SMARCB1
APP,NR1H3
APP,ESR2
APP,TCEANC2
APP,GSK3B
APP,VIM
APP,SRRM2
APP,MCM5
APP,CDK4
APP,ZMAT3
APP,KIFC3
APP,ZW10
APP,TNIP2
APP,SH3GLB1
APP,FBXL7
APP,RING1
APP,PHGDH
APP,PPP2R4
APP,BCL11A
APP,MAPK7
APP,UBE2E2
APP,HSPA2
APP,VHL
APP,ETV4
APP,INPP5B
APP,HAUS6
APP,EIF3F
APP,FEN1
APP,CDC25A
APP,POLR2K
APP,SART1
APP,ETS1
APP,OSTF1
APP,ELK1
APP,OBSL1
APP,CWC15
APP,KPNA4
APP,GAPDH
APP,HNRNPA1
APP,UBE3A
APP,LPL
APP,HSPBP1
APP,ATG7
APP,SMAD3
APP,C19orf40
APP,PSMA7
APP,STXBP1
APP,POLR2F
APP,POU2F1
APP,NUP50
APP,SOCS3
APP,JUN
APP,DYNLT1
APP,TRIM25
APP,MAPK10
APP,KLF6
APP,MX1
APP,CLP1
APP,SHC1
APP,CHEK1
APP,NRAS
APP,UBE2I
APP,NCR1
APP,NTM
APP,ARID3B
APP,HSPA9
APP,IL15
APP,PSMB4
APP,LPAR3
APP,CDK7
APP,ATF4
APP,TBK1
APP,HIST1H1C
APP,EGFR
APP,NDUFV1
APP,DLGAP5
APP,ORC4
APP,GTF2E1
APP,KIAA1429
APP,NOTCH1
APP,PTBP3
APP,YWHAB
APP,TICRR
APP,SF3A3
APP,EIF3M
APP,USP25
APP,PSMC1
APP,SIRT7
APP,PFKFB1
APP,AURKB
APP,PIM1
APP,DUSP21
APP,TES
