"node","type"
"DNAJA1",2
"DENND1A",2
"TRIM32",2
"TP53BP1",2
"DNM3",2
"GRK5",2
"AMBRA1",2
"ITK",2
"AFG3L2",2
"GTF2H4",2
"RNF114",2
"CUL4B",2
"PPP2R5E",2
"COMMD8",2
"DNAJA2",2
"NAE1",2
"CISD2",2
"DIS3",2
"IKBKE",2
"TES",2
"PPP2R5D",2
"RBX1",2
"NDUFS6",2
"SNRPD1",2
"HADHB",2
"CREB3",2
"SCAMP3",2
"RNF216",2
"ACOX1",2
"SKP2",2
"TRAIP",2
"BIRC3",2
"IARS2",2
"ACTR3",2
"NOD2",2
"FYN",2
"NSMCE4A",2
"NDUFA8",2
"RAB1A",2
"PJA1",2
"ERBB2",2
"FZR1",2
"FANCI",2
"CCDC22",2
"IL7R",2
"RPS27A",2
"CDK18",2
"JAK1",2
"ECI2",2
"FBXO15",2
"ATR",2
"HMGCR",2
"IFIH1",2
"ATP5C1",2
"NOS2",2
"DNAJC11",2
"TAB2",2
"NDUFS2",2
"MASTL",2
"JAK3",2
"ATP5B",2
"CCNE1",2
"NDUFV2",2
"UBE2Z",2
"SOCS2",2
"PLCG1",2
"TRAF6",2
"MAPK8",2
"CLN3",2
"BRPF1",2
"UBE4A",2
"RLIM",2
"REL",2
"IRS2",2
"PTPN6",2
"RPA1",2
"PPP2R1B",2
"CASP1",2
"COPS7A",2
"NFKB1",2
"MTX3",2
"HECTD1",2
"SLC1A5",2
"GLMN",2
"CDCA3",2
"AP4M1",2
"ICAM1",2
"CHCHD3",2
"DNAJA3",2
"TSC1",2
"CD44",2
"ACACA",2
"ASB3",2
"CDC27",2
"BAD",2
"MAPK3",2
"MAP4K4",2
"OGT",2
"CDK3",2
"HIVEP1",2
"PFDN4",2
"HERC1",2
"SPTAN1",2
"UBE2E1",2
"TIRAP",2
"FOXO3",2
"PLEKHO1",2
"UBE2B",2
"TNFRSF1B",2
"DNAAF2",2
"NME3",2
"CALU",2
"CPS1",2
"GNG5",2
"GSN",2
"HTR2C",2
"ICT1",2
"FGA",2
"HADHA",2
"NUCB1",2
"UBR1",2
"RICTOR",2
"S100A8",2
"ATP5L",2
"PDHB",2
"CREB1",2
"LAMP2",2
"MLST8",2
"DNM1",2
"DLAT",2
"UBE2V1",2
"ENDOG",2
"RBMX",2
"PPP4C",2
"NDUFA13",2
"COX2",2
"DDI1",2
"PLEC",2
"ANAPC13",2
"LRRC41",2
"PIK3R3",2
"SRSF3",2
"FLNA",2
"COA7",2
"AGER",2
"GRPEL1",2
"PPP2R2B",2
"FAM83H",2
"PHLPP1",2
"CTSA",2
"TRIM21",2
"CYB5R3",2
"FBXL8",2
"TCL1A",2
"TCEB2",2
"LRR1",2
"CRTC2",2
"HSP90AA5P",2
"COMMD7",2
"FEM1B",2
"TBK1",2
"BCL2L1",2
"KIAA1191",2
"TIMM50",2
"SAMM50",2
"SAV1",2
"UBE2R2",2
"MKRN1",2
"IL4R",2
"NME4",2
"SLC25A13",2
"IRAK4",2
"SMURF1",2
"RAB7A",2
"UBE2K",2
"KLHL2",2
"CD40",2
"LEPR",2
"TBC1D4",2
"KLHL20",2
"PRKCZ",2
"FKBP5",2
"VIM",2
"UBA3",2
"SNAP29",2
"CREB3L3",2
"TTLL12",2
"CLN5",2
"NMI",2
"CDKN1B",2
"TAB1",2
"SKI",2
"BCL2L11",2
"MYD88",2
"API5",2
"PHLPP2",2
"GNB3",2
"DZIP3",2
"TRIP12",2
"COBL",2
"PTPN22",2
"TRIM41",2
"SMC1A",2
"ARIH2",2
"BABAM1",2
"SYK",2
"PIK3R1",2
"PIM2",2
"CD274",2
"AKAP1",2
"PALLD",2
"FBXO2",2
"CBY1",2
"FBXL12",2
"HLA-DPA1",2
"CRKL",2
"ATP6V1B2",2
"BLVRA",2
"KLHL9",2
"RNF41",2
"PIK3R2",2
"CMC2",2
"TPM4",2
"CCNF",2
"DDX58",2
"MYO1B",2
"LTN1",2
"ANAPC2",2
"NF2",2
"SKP1",2
"UBE2E2",2
"CCL5",2
"CNPY3",2
"GLRX2",2
"HIGD1A",2
"RIPK2",2
"HIPK4",2
"PPP2CB",2
"UQCRC2",2
"COPS8",2
"HMGB1",2
"DLG4",2
"MTMR14",2
"IL33",2
"RPS6KB2",2
"TOLLIP",2
"CFB",2
"RNF19B",2
