source,target
EP300,TRIM25
EP300,ERG
EP300,GNB2L1
EP300,UBE2M
EP300,RELA
EP300,RPS26
EP300,YBX1
EP300,PRKCA
EP300,UBE2D1
EP300,RUVBL2
EP300,EWSR1
EP300,MCM2
EP300,FBXW8
EP300,ILF2
EP300,HNRNPUL1
EP300,PIK3R1
EP300,HNRNPL
EP300,NR1I2
EP300,SNW1
EP300,TP53
EP300,HIST1H1D
EP300,UBC
EP300,RECQL4
EP300,RBX1
EP300,POLR2C
EP300,POLR2I
EP300,TGFB1
EP300,MED31
EP300,HDAC5
EP300,PRPF19
EP300,SKP1
EP300,KRAS
EP300,GTF2F1
EP300,POLR2J
EP300,TNF
EP300,PCGF2
EP300,TNRC6B
EP300,IL1B
EP300,PTGES2
EP300,SUMO1
EP300,SMC3
EP300,SUZ12
EP300,POLR2H
EP300,MED19
EP300,RFC5
EP300,POLR2E
EP300,HSPA1A
EP300,POLR2B
EP300,UBA52
EP300,THRAP3
EP300,XAB2
EP300,TCEA1
EP300,SRRM2
EP300,PTGES3
EP300,POLR2G
EP300,PPIE
EP300,H2AFX
EP300,TFDP1
EP300,POLR2L
EP300,POLR2D
EP300,UBB
EP300,SF3B1
EP300,MED20
EP300,HSP90AA1
EP300,HSP90AB1
EP300,RPS27A
EP300,ZNF830
EP300,PRKACB
EP300,HEY1
EP300,POLD1
EP300,POLR2F
EP300,POLR2K
EP300,HDAC4
EP300,NOTCH3
EP300,RFC1
EP300,ERCC3
EP300,PML
EP300,RAD21
EP300,RFC3
ARRB2,RPL12
ARRB2,PTBP1
ARRB2,CFL1
ARRB2,RPS27A
ARRB2,STAT1
ARRB2,NOP56
ARRB2,NCL
ARRB2,RPL7A
ARRB2,MAP3K7
ARRB2,PABPC1
ARRB2,CENPF
ARRB2,HNRNPM
ARRB2,HNRNPA1
ARRB2,MAP3K1
ARRB2,RPL4
ARRB2,RPL30
ARRB2,RPLP0
ARRB2,RPL6
ARRB2,CSNK2A2
ARRB2,UBC
ARRB2,HSPA8
ARRB2,TUBB4B
ARRB2,RPL11
ARRB2,RPL35A
ARRB2,PTGDS
ARRB2,SRC
ARRB2,RPL3
ARRB2,PRKCB
ARRB2,HDAC2
ARRB2,FBL
ARRB2,SNRPD1
ARRB2,BOLA2
ARRB2,CAPN1
ARRB2,TUBA4A
ARRB2,ARRDC3
ARRB2,WEE1
ARRB2,HSP90AB1
ARRB2,H2AFX
ARRB2,RPL14
ARRB2,THRAP3
ARRB2,HNRNPC
ARRB2,IGF2BP1
ARRB2,ERH
ARRB2,TMPO
ARRB2,VCP
ARRB2,SNRPD2
ARRB2,HSPA5
ARRB2,MAPK3
ARRB2,SIRT1
ARRB2,HNRNPU
ARRB2,SRPK2
ARRB2,KPNA3
ARRB2,MAPK1
ARRB2,MAP3K14
ARRB2,NFKBIA
ARRB2,ILF3
ARRB2,HIST1H1C
ARRB2,RPL15
ARRB2,CUL5
ARRB2,DYNC1H1
ARRB2,UBA52
ARRB2,RPS6
ARRB2,G3BP2
ARRB2,RPL26
ARRB2,EEF2
ARRB2,RPL36
ARRB2,TAB1
ARRB2,TAB2
ARRB2,RPL19
ARRB2,RPL28
ARRB2,PRPF4
ARRB2,YWHAE
ARRB2,YWHAQ
ARRB2,PKM
ARRB2,RPL31
ARRB2,RPL18
ARRB2,HNRNPA2B1
ARRB2,DDX1
ARRB2,XRCC5
ARRB2,XRCC6
ARRB2,UBB
ARRB2,EEF1A1
ARRB2,EFTUD2
ARRB2,SF3B3
ARRB2,RPS8
ARRB2,RBM10
ARRB2,RPS3A
ARRB2,HNRNPK
ARRB2,TRAF6
ARRB2,STUB1
ARRB2,EGFR
ARRB2,CSNK2A1
ARRB2,RPS4X
ARRB2,HNRNPF
ARRB2,TRIM28
ARRB2,MYC
ARRB2,YBX1
ARRB2,C1QBP
ARRB2,HNRNPD
ARRB2,POLR2E
ARRB2,PTGES3
ARRB2,SF3B2
ARRB2,HNRNPR
ARRB2,HNRNPA0
ARRB2,CUL3
ARRB2,HNRNPH2
ARRB2,RPL7
ARRB2,ATG16L1
ARRB2,DHX15
ARRB2,DDX3X
ARRB2,TUBB2A
ARRB2,HNRNPL
ARRB2,XPO1
ARRB2,DDX5
ARRB2,SRRM2
ARRB2,NONO
ARRB2,RPLP2
ARRB2,CHUK
ARRB2,RPS3
ARRB2,SFPQ
ARRB2,EIF2AK4
ARRB2,HNRNPH1
ARRB2,NPM1
ARRB2,SF3B1
ARRB2,NFKB1
ARRB2,MAPK14
ARRB2,ZC3HAV1
ARRB2,KRAS
ARRB2,IQGAP1
ARRB2,IL7R
ARRB2,CXCL8
ARRB2,FN1
ARRB2,QKI
ARRB2,LMNA
ARRB2,RELA
ARRB2,CSNK1A1
ARRB2,HRAS
BCL3,EP300
BCL3,HDAC3
BCL3,HDAC1
BCL3,CYLD
BCL3,CTNNB1
BCL3,NFKB2
BCL3,NFKB1
BCL3,FBXW8
BCL3,RELB
BCL3,RXRA
BCL3,GSK3B
BCL3,CTBP2
BCL3,CHUK
BCL3,RUVBL1
BCL3,JUN
BCL3,RUVBL2
BCL3,TRAF6
BCL3,ESR1
BCL3,STAT1
BCL3,COPS5
BCL3,PSMB1
BCL3,MAPK1
BCL3,PIR
BCL3,TNF
BCL3,NFKBIA
BCL3,REL
BCL3,RELA
BARD1,MAPK1
BARD1,SNRPC
BARD1,TP53
BARD1,SRSF9
BARD1,SSB
BARD1,LUC7L
BARD1,H2AFX
BARD1,SRSF4
BARD1,EWSR1
BARD1,POLR2H
BARD1,HIST1H4A
BARD1,GOLGA2
BARD1,CSTF2
BARD1,POLR2A
BARD1,WDR33
BARD1,KRAS
BARD1,SNRPB
BARD1,RELA
BARD1,UBE2D3
BARD1,PPP1CC
BARD1,RRP1
BARD1,YBX1
BARD1,UBE2D2
BARD1,CCNT1
BARD1,PCBP2
BARD1,LUC7L2
BARD1,VCP
BARD1,UBC
BARD1,COMMD1
BARD1,SRRM2
BARD1,SRSF7
BARD1,TERF2
BARD1,CCAR1
BARD1,HNRNPC
BARD1,CSTF1
BARD1,ESR1
BARD1,TRAF1
BARD1,HNRNPLL
BARD1,DDX39B
BARD1,HNRNPDL
BARD1,PUF60
BARD1,NFKBIA
BARD1,SRSF6
BARD1,THRAP3
BARD1,U2AF2
BARD1,SRPK2
BARD1,KPNA3
BARD1,SRPK1
BARD1,NCBP1
BARD1,HERC2
BARD1,SNRNP200
BARD1,PSMA7
BARD1,SMC1A
BARD1,SNRNP70
BARD1,UBE2N
BARD1,IKBKAP
BARD1,CHD3
BARD1,NPM1
BARD1,PRPF40A
BARD1,TCERG1
BARD1,XRCC6
BARD1,XRCC5
BARD1,SRRM1
BARD1,CDK9
BARD1,SRSF10
BARD1,CPSF2
BARD1,SRSF1
BARD1,FKBP3
BARD1,GNB2L1
BARD1,UBE2D1
BARD1,BRCA1
BARD1,BARD1
BARD1,LARP7
BARD1,RBM22
BARD1,HNRNPL
BARD1,U2SURP
BARD1,SRSF2
BARD1,CDK2
BARD1,RBM39
BARD1,SRSF5
BARD1,POLR2B
BARD1,HNRNPUL1
BARD1,TRA2B
BARD1,CDK1
BARD1,ELAVL1
BARD1,POLR2E
BARD1,BCL3
BARD1,CPSF3
BARD1,TRMT1L
BARD1,MEPCE
BARD1,RBM17
BARD1,MRPS22
BARD1,RNF4
BARD1,PAXIP1
BARD1,PCGF2
BARD1,CBX8
BARD1,SUMO1
BARD1,CUL7
BARD1,BMI1
BARD1,RFC5
BARD1,POLH
BARD1,UBA52
BARD1,UBB
BARD1,RPS27A
BARD1,PCNA
BARD1,POLD1
BARD1,RNF2
BARD1,CHEK2
BARD1,UBE2I
BARD1,PRKDC
BARD1,RFC1
BARD1,RFC3
BRCA1,DIMT1
BRCA1,EBNA1BP2
BRCA1,PRPF6
BRCA1,RPS2
BRCA1,DDX24
BRCA1,SFPQ
BRCA1,CSTF1
BRCA1,SP1
BRCA1,POLR2H
BRCA1,DHX38
BRCA1,MAPK3
BRCA1,PSMA7
BRCA1,TP53
BRCA1,IMPDH2
BRCA1,RPL23A
BRCA1,PSMC4
BRCA1,CDC5L
BRCA1,HIST1H2AB
BRCA1,SNRNP200
BRCA1,HERC2
BRCA1,NCL
BRCA1,PKM
BRCA1,TARDBP
BRCA1,DHX15
BRCA1,HNRNPL
BRCA1,HNRNPDL
BRCA1,HNRNPU
BRCA1,HIF1A
BRCA1,PSMD14
BRCA1,ERC1
BRCA1,UBE2D1
BRCA1,RAD21
BRCA1,EIF3I
BRCA1,FUBP1
BRCA1,SART3
BRCA1,RPL4
BRCA1,SMC1A
BRCA1,UBAP2L
BRCA1,RECQL
BRCA1,STAT1
BRCA1,UBC
BRCA1,PSMD7
BRCA1,SRSF1
BRCA1,PABPC1
BRCA1,PFKM
BRCA1,HNRNPAB
BRCA1,CAPRIN1
BRCA1,PSMC1
BRCA1,SMAD3
BRCA1,MTOR
BRCA1,HNRNPD
BRCA1,CDK9
BRCA1,UPF1
BRCA1,CENPF
BRCA1,CRY2
BRCA1,RPL11
BRCA1,HNRNPM
BRCA1,TERF2
BRCA1,RPL18
BRCA1,PSMA5
BRCA1,CHEK2
BRCA1,IQGAP1
BRCA1,RPL3
BRCA1,UBE2D3
BRCA1,PA2G4
BRCA1,JUN
BRCA1,STIP1
BRCA1,POT1
BRCA1,CDK2
BRCA1,SKP1
BRCA1,HSPA8
BRCA1,HSP90AA1
BRCA1,RPL5
BRCA1,PRPF3
BRCA1,PPP1CC
BRCA1,FBL
BRCA1,RPL27
BRCA1,DHX9
BRCA1,DDX1
BRCA1,PSMD3
BRCA1,CSNK2A1
BRCA1,NUFIP2
BRCA1,KEAP1
BRCA1,HDAC1
BRCA1,MCM5
BRCA1,MCM2
BRCA1,SNRPD3
BRCA1,PSMC2
BRCA1,PRPF19
BRCA1,CCND1
BRCA1,PRKDC
BRCA1,PSMB5
BRCA1,CSTF2
BRCA1,SHFM1
BRCA1,TNRC6B
BRCA1,RPL27A
BRCA1,CREBBP
BRCA1,HDAC2
BRCA1,PSMD11
BRCA1,HSP90AB1
BRCA1,RPL18A
BRCA1,CTNNB1
BRCA1,HUWE1
BRCA1,EIF2S1
BRCA1,H2AFX
BRCA1,RPS3
BRCA1,EZH2
BRCA1,RPL14
BRCA1,HNRNPC
BRCA1,PRKRA
BRCA1,VCP
BRCA1,XRCC5
BRCA1,MYC
BRCA1,KPNA2
BRCA1,ILF2
BRCA1,PSME3
BRCA1,PSMA1
BRCA1,KPNA3
BRCA1,UBE2L3
BRCA1,RPL10
BRCA1,RPL15
BRCA1,PTBP1
BRCA1,BRCA1
BRCA1,POLR2A
BRCA1,ILF3
BRCA1,HSPA5
BRCA1,YWHAE
BRCA1,RELA
BRCA1,POLD1
BRCA1,STAU1
BRCA1,PSMD9
BRCA1,CUL2
BRCA1,DDX23
BRCA1,DDX42
BRCA1,MAPK1
BRCA1,RPS6
BRCA1,EP300
BRCA1,PSMA6
BRCA1,HNRNPH3
BRCA1,KHDRBS1
BRCA1,CDK1
BRCA1,PPP6C
BRCA1,UBE2N
BRCA1,EEF2
BRCA1,RPL36
