"V1","V2"
"OAS1","HLA-DQA2"
"OAS1","GBP6"
"OAS1","IP6K2"
"OAS1","GBP5"
"OAS1","OAS2"
"OAS1","FCGR1B"
"OAS1","CXCL10"
"OAS1","GBP3"
"WASF1","VAV2"
"WASF1","ZNF746"
"WASF1","ZC3H15"
"WASF1","NXN"
"XPA","POLD4"
"XPA","POLD3"
"XPA","XRCC4"
"WDR82","SHOC2"
"ZFP36L2","ZFP36L1"
"ZFP36L2","STK38"
"FAM49B","UNK"
"OSCP1","WDR54"
"POLE4","ZUFSP"
"POLE4","XRCC2"
"POLE4","POLD4"
"POLE4","POLD3"
"POLE4","XPA"
"LIG1","POLD4"
"LIG1","WDHD1"
"LIG1","POLD3"
"LIG1","XRCC4"
"LIG1","XPA"
"LIG1","POLE4"
"HLA-DQB2","GBP4"
"HLA-DQB2","GBP7"
"HLA-DQB2","HLA-DQB1"
"HLA-DQB2","HLA-DQA2"
"HLA-DQB2","SPTBN2"
"HLA-DQB2","GBP6"
"HLA-DQB2","GBP5"
"HLA-DQB2","OAS2"
"HLA-DQB2","FCGR1B"
"HLA-DQB2","PTPRJ"
"HLA-DQB2","GBP3"
"HLA-DQB2","OAS1"
"UBAP2","ZFR"
"ARHGAP27","RHOF"
"TRAFD1","ZNF131"
"OPHN1","RHOF"
"SIGIRR","IL18R1"
"SIGIRR","IL37"
"WNK1","ZYX"
"WNK1","WNK2"
"SLC20A1","UGCG"
"XPOT","ZNF598"
"XPOT","XPO4"
"WDR74","ZC3H15"
"WDR74","WDR12"
"WDR74","WDR43"
"TLR2","TLR6"
"TLR2","TMEM214"
"TLR2","IL6"
"TLR2","CXCL10"
"TAOK1","ZWILCH"
"TAOK1","ZWINT"
"TAOK1","SPC25"
"TAOK1","PPP2R5B"
"TAOK1","TAOK3"
"TAOK1","ZW10"
"TAOK1","TAOK2"
"TAOK1","SPC24"
"TAOK1","INCENP"
"TAOK1","WWC1"
"WDR89","WDR12"
"WAPAL","ZWILCH"
"WAPAL","ZWINT"
"WAPAL","SPC25"
"WAPAL","PPP2R5B"
"WAPAL","ZW10"
"WAPAL","SPC24"
"WAPAL","INCENP"
"WAPAL","TAOK1"
"CLDN12","STRN4"
"UAP1","WDR1"
"TMCO3","GGCX"
"TFPT","YY1"
"MED12L","PHF3"
"YTHDF1","WTAP"
"TRIM33","WDTC1"
"TLR3","TLR7"
"TLR3","TLR8"
"TLR3","IFNB1"
"TLR3","IL6"
"TLR3","TICAM2"
"TLR3","CXCL10"
"PTAFR","GBP4"
"PTAFR","GBP7"
"PTAFR","HLA-DQB1"
"PTAFR","HLA-DQA2"
"PTAFR","CHRNB4"
"PTAFR","TRIO"
"PTAFR","GBP6"
"PTAFR","GBP5"
"PTAFR","P2RY11"
"PTAFR","OAS2"
"PTAFR","FCGR1B"
"PTAFR","GBP3"
"PTAFR","OAS1"
"PTAFR","HLA-DQB2"
"PTCH2","SMO"
"FAM109A","PLEKHJ1"
"SGOL2","ZWILCH"
"SGOL2","ZWINT"
"SGOL2","SPC25"
"SGOL2","PPP2R5B"
"SGOL2","ZW10"
"SGOL2","SPC24"
"SGOL2","INCENP"
"SGOL2","TAOK1"
"SGOL2","WAPAL"
"ZBTB10","ZCCHC3"
"ZBTB10","ZBTB46"
"YTHDF3","WTAP"
"YTHDF3","YTHDF1"
"UBAC1","ZNRF2"
"UBAC1","WSB1"
"UBAC1","UBE3D"
"UBAC1","FBXW10"
"UBAC1","FBXO9"
"UBAC1","UBE2G2"
"UBAC1","UBE2J2"
"UBAC1","SPSB1"
"MND1","SPO11"
"MND1","MSH5"
"LRCH1","ZUFSP"
"TCEB3","TCEB3CL2"
"TCEB3","TCEB3C"
"TEAD3","VGLL4"
"STK38L","ZNF598"
"AGPAT9","TSPAN17"
"YBX1","VPS37B"
"YBX1","UNK"
"YBX1","ZFP36L2"
"YBX1","RNU12"
"SLC7A5","FGD6"
"SLC7A5","SLC38A1"
"KLHL18","SMAP1"
"TNPO1","ZFP36"
"TNPO1","ZNF598"
"TNPO1","TMA16"
"TNPO1","TXNRD1"
"UBAP1","VPS37B"
"UBAP1","VPS4A"
"UBAP1","VPS37A"
"TRIP4","ZC2HC1A"
"TRIP4","YBX1"
"SCYL2","UBAP2"
"RAPGEF6","WWC1"
"CASC4","MSH5"
"YEATS2","POLE4"
"UBE2D4","ZNRF2"
"UBE2D4","WSB1"
"UBE2D4","UBE3D"
"UBE2D4","XIAP"
"UBE2D4","FBXW10"
"UBE2D4","FBXO9"
"UBE2D4","UBE2G2"
"UBE2D4","UBE2J2"
"UBE2D4","SPSB1"
"UBE2D4","UBAC1"
"ERI1","YBX1"
"PROS1","GGCX"
"PROS1","FAM49B"
"TTI1","ZNHIT2"
"TTI1","TTI2"
"SIAE","MANBA"
"KLF8","SGSM3"
"UBTF","ZNF330"
"S100A7","ZNF598"
"RAD51C","XRCC2"
"RAD51C","ENSG00000267618"
"RAD51C","SPO11"
"RAD51C","RAD9B"
"RAD51C","POLD4"
"RAD51C","EME2"
"RAD51C","SPIDR"
"RAD51C","POLD3"
"RAD51C","SWSAP1"
"RAD51C","POLE4"
"RAD51C","MND1"
"CHPF","B4GALNT1"
"CDCA4","XIAP"
"GALNT2","ZNF598"
"GALNT2","B4GALNT1"
"SECISBP2","SEPSECS"
"VPS53","ZUFSP"
"VPS53","RIC1"
"VPS53","ARFRP1"
"VPS53","TFPT"
"FAM109B","PLEKHJ1"
"FAM109B","FAM109A"
"RNF38","SPIDR"
"RNF38","UBE2D4"
"PDE8A","PDE8B"
"WDR76","ZFR"
"WDR76","YBX1"
"SECISBP2L","ZYX"
"PTPRD","TRIO"
"SPSB3","WSB1"
"SPSB3","TULP4"
"SPSB3","FBXW10"
"SPSB3","SOCS5"
"SPSB3","FBXO9"
"SPSB3","SPSB1"
"CRLF3","TCP11L1"
"SEPT8","ZWILCH"
"SYBU","TRAK2"
"TNKS1BP1","SPC25"
"TNKS1BP1","WRAP73"
"MUC13","ST3GAL4"
"MUC13","VAMP5"
"MUC13","GALNT2"
"PTPRM","TNPO1"
"MLXIPL","PPARGC1B"
"ZFX","PRKX"
"YWHAQ","ZNRF2"
"YWHAQ","ZFP36"
"YWHAQ","WTAP"
"YWHAQ","ZFP36L2"
"YWHAQ","WWC1"
"YWHAQ","WNK1"
"YWHAQ","WDR76"
"YWHAQ","TRIM59"
"SLAIN2","YBX3"
"SLAIN2","TTC19"
"SLAIN2","SGOL2"
"SLAIN2","PTPRD"
"SPICE1","ZC2HC1A"
"SPICE1","WRAP73"
"SPICE1","SPC24"
"SPICE1","SECISBP2"
"TAF13","SNAPC3"
"TAF13","YEATS2"
"TCF12","ZWINT"
"TCF12","TRIM33"
"LSS","AACS"
"SMG6","DHX34"
"PSPH","VPS72"
"YEATS4","SNX16"
"YEATS4","WHSC1L1"
"YEATS4","SNUPN"
"YEATS4","POLE4"
"YEATS4","TFPT"
"YEATS4","YEATS2"
"YEATS4","UBTF"
"YEATS4","VPS72"
"YEATS4","VPS53"
"YEATS4","TAF13"
"IP6K1","IP6K2"
"XPC","ZSWIM7"
"XPC","XRCC6BP1"
"XPC","YY1"
"XPC","SWSAP1"
"XPC","XRCC4"
"XPC","XPA"
"XPC","TFPT"
"XPC","WDR76"
"MUC16","ST3GAL4"
"MUC16","MSLN"
"MUC16","GALNT2"
"MUC16","MUC13"
"POLR3D","SNAPC3"
"POLR3D","WDR12"
"SHB","VAV2"
"SHB","WASF1"
"GTPBP6","IP6K2"
"FSTL3","STC2"
"FSTL3","IL6"
"FSTL3","MSLN"
"C2orf68","SMG6"
"SUPT5H","TCEB3CL2"
"SUPT5H","TCEB3C"
"SUPT5H","SNAPC3"
"SUPT5H","PHF3"
"SUPT5H","TCEB3"
"SUPT5H","TAF13"
"NUP37","ZWILCH"
"NUP37","ZWINT"
"NUP37","SPC25"
"NUP37","PPP2R5B"
"NUP37","ZW10"
"NUP37","SNUPN"
"NUP37","SPC24"
"NUP37","INCENP"
"NUP37","XPOT"
"NUP37","TAOK1"
"NUP37","WAPAL"
"NUP37","SGOL2"
"TTC27","WDR12"
"TTC27","WDR43"
"WRNIP1","ATMIN"
"WRNIP1","PTPRM"
"USP47","VRK1"
"USP47","FBXO9"
"USP47","WRAP73"
"USP47","SYAP1"
"HFM1","SPO11"
"HFM1","MSH5"
"HFM1","MND1"
"DRG2","RWDD4"
"DRG2","ZC3H15"
"DRG2","RWDD1"
"SEPT6","SLC25A43"
"SEPT6","WHSC1L1"
"SEPT6","SEPT8"
"UBE4B","VAV2"
"UBE4B","XPC"
"TOMM34","ZYX"
"TOMM34","WDR12"
"TOMM34","USP47"
"PBRM1","WDR76"
"WLS","WNT7B"
"SNX18","RELL1"
"SNX18","PACSIN2"
"RABL6","ZWINT"
"RABL6","TMA16"
"SLU7","WHSC1L1"
"SLU7","YBX1"
"SLU7","NUP37"
"SAMD4A","TIAL1"
"SAMD4A","YWHAQ"
"STAG2","ZWILCH"
"STAG2","ZWINT"
"STAG2","SPC25"
"STAG2","PPP2R5B"
"STAG2","ZW10"
"STAG2","PIP5K1A"
"STAG2","SPC24"
"STAG2","INCENP"
"STAG2","TAOK1"
"STAG2","WAPAL"
"STAG2","SGOL2"
"STAG2","NUP37"
"PHF8","INCENP"
"PHF8","XPC"
"RIOK3","UTP11L"
"RIOK3","WDR43"
"LTB4R2","TRIO"
"LTB4R2","P2RY11"
"LTB4R2","PTAFR"
"LTB4R2","CIDEB"
"DNAJC6","PACSIN2"
"DNAJC6","SNX18"
"SMPD4","UGCG"
"SMPD4","PPAP2C"
