"V1","V2"
"PTGDS","TBXAS1"
"SMNDC1","U2AF1L4"
"SMNDC1","WBP11"
"SMNDC1","PPIL1"
"SMNDC1","PPIL6"
"SMNDC1","SYMPK"
"SMNDC1","SNRPN"
"SMNDC1","SLU7"
"SMNDC1","POLR2K"
"SMNDC1","SNRPG"
"UGP2","UNK"
"UGP2","MPI"
"SRSF9","U2AF1L4"
"SRSF9","WBP11"
"SRSF9","PPIL1"
"SRSF9","PPIL6"
"SRSF9","SYMPK"
"SRSF9","SNRPN"
"SRSF9","SLU7"
"SRSF9","POLR2K"
"SRSF9","SNRPG"
"SRSF9","SMNDC1"
"PPIL3","U2AF1L4"
"PPIL3","WBP11"
"PPIL3","PPIL1"
"PPIL3","FAM49B"
"PPIL3","PPIL6"
"PPIL3","SYMPK"
"PPIL3","SNRPN"
"PPIL3","SLU7"
"PPIL3","POLR2K"
"PPIL3","SNRPG"
"PPIL3","SMNDC1"
"PPIL3","SRSF9"
"UPF1","TRIP4"
"UPF1","SNRPN"
"UPF1","YWHAQ"
"UBE2N","WWP1"
"UBE2N","UBL5"
"UBE2N","IL1B"
"RBM12","GSTO2"
"PDCD7","ZRSR2"
"PDCD7","ZMAT5"
"PDCD7","RNU12"
"PDCD7","SNRNP25"
"PDCD7","SNRPN"
"PDCD7","POLR2K"
"PDCD7","SNRPG"
"PDCD7","SNRNP35"
"PDCD7","SNRNP48"
"PPWD1","U2AF1L4"
"PPWD1","WBP11"
"PPWD1","PTBP3"
"PPWD1","PPIL1"
"PPWD1","PPIL6"
"PPWD1","SYMPK"
"PPWD1","SNRPN"
"PPWD1","SLU7"
"PPWD1","POLR2K"
"PPWD1","SNRPG"
"PPWD1","SMNDC1"
"PPWD1","SRSF9"
"PPWD1","PPIL3"
"EPHX1","CYP2F1"
"EPHX1","GSTA3"
"EPHX1","GSTA5"
"EPHX1","CYP2B6"
"EPHX1","CYP2A13"
"EPHX1","MGST2"
"EPHX1","GSTA4"
"EPHX1","GSTM2"
"EPHX1","GSTM5"
"EPHX1","CYP2C19"
"EPHX1","GSTT2B"
"EPHX1","CYP1B1"
"EPHX1","GSTO2"
"EPHX1","GSTA1"
"TRA2B","U2AF1L4"
"TRA2B","WBP11"
"TRA2B","UNK"
"TRA2B","PPIL1"
"TRA2B","PPIL6"
"TRA2B","SYMPK"
"TRA2B","SNRPN"
"TRA2B","SLU7"
"TRA2B","POLR2K"
"TRA2B","SNRPG"
"TRA2B","SMNDC1"
"TRA2B","SRSF9"
"TRA2B","PPIL3"
"TRA2B","PPWD1"
"GNPNAT1","UBE2N"
"SMC3","TRIP4"
"CTU2","ZMAT5"
"YWHAE","ADH1B"
"YWHAE","UNK"
"YWHAE","ZFP36L2"
"YWHAE","YWHAQ"
"YWHAE","NGF"
"YWHAE","GSTA1"
"YWHAE","TRA2B"
"GSTM1","CYP2F1"
"GSTM1","GPX6"
"GSTM1","GPX5"
"GSTM1","GSTA3"
"GSTM1","CYP2B6"
"GSTM1","CYP2A13"
"GSTM1","MGST2"
"GSTM1","GSTA4"
"GSTM1","GPX2"
"GSTM1","ADH1C"
"GSTM1","GSTM2"
"GSTM1","CYP2C19"
"GSTM1","GSTT2B"
"GSTM1","ADH1B"
"GSTM1","CYP1B1"
"GSTM1","ADH1A"
"GSTM1","GSTO2"
"GSTM1","GSTA1"
"GSTM1","EPHX1"
"CWC25","U2AF1L4"
"CWC25","WBP11"
"CWC25","PPIL1"
"CWC25","PPIL6"
"CWC25","SYMPK"
"CWC25","SNRPN"
"CWC25","SLU7"
"CWC25","POLR2K"
"CWC25","SNRPG"
"CWC25","SMNDC1"
"CWC25","SRSF9"
"CWC25","PPIL3"
"CWC25","PPWD1"
"CWC25","TRA2B"
"WBP4","U2AF1L4"
"WBP4","WBP11"
"WBP4","PPIL1"
"WBP4","PPIL6"
"WBP4","SYMPK"
"WBP4","SNRPN"
"WBP4","POLR2K"
"WBP4","SNRPG"
"WBP4","SMNDC1"
"WBP4","SRSF9"
"WBP4","PPIL3"
"WBP4","CWC25"
"UPF3B","U2AF1L4"
"UPF3B","WBP11"
"UPF3B","PPIL1"
"UPF3B","PPIL6"
"UPF3B","SYMPK"
"UPF3B","SNRPN"
"UPF3B","SLU7"
"UPF3B","POLR2K"
"UPF3B","SNRPG"
"UPF3B","SMNDC1"
"UPF3B","SRSF9"
"UPF3B","PPIL3"
"UPF3B","UPF1"
"UPF3B","PPWD1"
"UPF3B","TRA2B"
"UPF3B","CWC25"
"PSMB10","PSMB11"
"PSMB10","WWP1"
"PSMB10","NFKBIB"
"PSMB10","CD40LG"
"PSMB10","TNFSF11"
"GPX7","GSTA3"
"GPX7","GSTA5"
"GPX7","MGST2"
"GPX7","GSTA4"
"GPX7","GGT5"
"GPX7","GSTM2"
"GPX7","GSTM5"
"GPX7","GSTT2B"
"GPX7","GSTO2"
"GPX7","TXN"
"GPX7","GSTA1"
"GPX7","GSTM1"
"ZBP1","NFKBIB"
"ZBP1","RIPK3"
"MIRLET7A2","SYMPK"
"MIRLET7A2","UPF1"
"MIRLET7A2","TRA2B"
"XRCC5","TYK2"
"XRCC5","WWP1"
"XRCC5","WDR76"
"XRCC5","TDP2"
"XRCC5","UBE2N"
"PPIH","U2AF1L4"
"PPIH","WBP11"
"PPIH","PPIL1"
"PPIH","PPIL6"
"PPIH","SYMPK"
"PPIH","SNRPN"
"PPIH","POLR2K"
"PPIH","SNRPG"
"PPIH","SMNDC1"
"PPIH","SRSF9"
"PPIH","PPIL3"
"PPIH","CWC25"
"PPIH","WBP4"
"MIR93","TRMT1L"
"MIR93","PTBP3"
"MIR93","SYMPK"
"MIR93","UPF1"
"MIR93","TRA2B"
"F2","LPAR3"
"LSM5","U2AF1L4"
"LSM5","WBP11"
"LSM5","PPIL1"
"LSM5","UBL5"
"LSM5","PPIL6"
"LSM5","SYMPK"
"LSM5","SNRPN"
"LSM5","POLR2K"
"LSM5","SNRPG"
"LSM5","SMNDC1"
"LSM5","SRSF9"
"LSM5","PPIL3"
"LSM5","CWC25"
"LSM5","WBP4"
"LSM5","PPIH"
"SRSF5","U2AF1L4"
"SRSF5","WBP11"
"SRSF5","PPIL1"
"SRSF5","PPIL6"
"SRSF5","SYMPK"
"SRSF5","SNRPN"
"SRSF5","SLU7"
"SRSF5","POLR2K"
"SRSF5","SNRPG"
"SRSF5","SMNDC1"
"SRSF5","SRSF9"
"SRSF5","PPIL3"
"SRSF5","PPWD1"
"SRSF5","TRA2B"
"SRSF5","CWC25"
"SRSF5","WBP4"
"SRSF5","UPF3B"
"SRSF5","PPIH"
"SRSF5","LSM5"
"EIF2AK1","NFKBIB"
"PSENEN","APH1B"
"PSENEN","NGF"
"PTPN13","YES1"
"MIR140","PTBP3"
"MIR140","UPF1"
"MIR140","TRA2B"
"MIR429","PTBP3"
"MIR429","UPF1"
"MIR429","TRA2B"
"NR1I2","CYP2B6"
"NR1I2","CYP2C19"
"RNPC3","ZRSR2"
"RNPC3","ZMAT5"
"RNPC3","PPIL1"
"RNPC3","RNU12"
"RNPC3","SNRNP25"
"RNPC3","SNRPN"
"RNPC3","POLR2K"
"RNPC3","SNRPG"
"RNPC3","SNRNP35"
"RNPC3","SNRNP48"
"RNPC3","PDCD7"
"RNPC3","LSM5"
"RPSA","GZF1"
"RPSA","WDR76"
"RPSA","UPF1"
"RPSA","UPF3B"
"PSME4","PSMB11"
"PSME4","WWP1"
"PSME4","NFKBIB"
"PSME4","CD40LG"
"PSME4","TNFSF11"
"PSME4","PSMB10"
"GSS","GPX6"
"GSS","GPX5"
"GSS","GSTA3"
"GSS","GSTA5"
"GSS","GSTA4"
"GSS","GPX2"
"GSS","GGT5"
"GSS","GSTM2"
"GSS","GSTM5"
"GSS","GSTT2B"
"GSS","GSTO2"
"GSS","GSTA1"
